age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
58,management,1,2,no,2143,1,no,unknown,,may,261,1,-1,0,unknown,0
44,technician,0,1,no,29,1,no,unknown,,may,151,1,-1,0,unknown,0
33,entrepreneur,1,1,no,2,1,yes,unknown,,may,76,1,-1,0,unknown,0
47,blue-collar,1,3,no,1506,1,no,unknown,,may,92,1,-1,0,unknown,0
33,unknown,0,3,no,1,0,no,unknown,,may,198,1,-1,0,unknown,0
35,management,1,2,no,231,1,no,unknown,,may,139,1,-1,0,unknown,0
28,management,0,2,no,447,1,yes,unknown,,may,217,1,-1,0,unknown,0
42,entrepreneur,divorced,2,yes,2,1,no,unknown,,may,380,1,-1,0,unknown,0
58,retired,1,0,no,121,1,no,unknown,,may,50,1,-1,0,unknown,0
43,technician,0,1,no,593,1,no,unknown,,may,55,1,-1,0,unknown,0
41,admin.,divorced,1,no,270,1,no,unknown,,may,222,1,-1,0,unknown,0
29,admin.,0,1,no,390,1,no,unknown,5.0,may,137,1,-1,0,unknown,0
53,technician,1,1,no,6,1,no,unknown,5.0,may,517,1,-1,0,unknown,0
58,technician,1,3,no,71,1,no,unknown,,may,71,1,-1,0,unknown,0
57,services,1,1,no,162,1,no,unknown,,may,174,1,-1,0,unknown,0
51,retired,1,0,no,229,1,no,unknown,,may,353,1,-1,0,unknown,0
45,admin.,0,3,no,13,1,no,unknown,,may,98,1,-1,0,unknown,0
57,blue-collar,1,0,no,52,1,no,unknown,5.0,may,38,1,-1,0,unknown,0
60,retired,1,0,no,60,1,no,unknown,,may,219,1,-1,0,unknown,0
33,services,1,1,no,0,1,no,unknown,,may,54,1,-1,0,unknown,0
28,blue-collar,1,1,no,723,1,yes,unknown,,may,262,1,-1,0,unknown,0
56,management,1,2,no,779,1,no,unknown,5.0,may,164,1,-1,0,unknown,0
32,blue-collar,0,0,no,23,1,yes,unknown,,may,160,1,-1,0,unknown,0
25,services,1,1,no,50,1,no,unknown,,may,342,1,-1,0,unknown,0
40,retired,1,0,no,0,1,yes,unknown,,may,181,1,-1,0,unknown,0
44,admin.,1,1,no,-372,1,no,unknown,,may,172,1,-1,0,unknown,0
39,management,0,2,no,255,1,no,unknown,,may,296,1,-1,0,unknown,0
52,entrepreneur,1,1,no,113,1,yes,unknown,5.0,may,127,1,-1,0,unknown,0
46,management,0,1,no,-246,1,no,unknown,,may,255,2,-1,0,unknown,0
36,technician,0,1,no,265,1,yes,unknown,,may,348,1,-1,0,unknown,0
57,technician,1,1,no,839,0,yes,unknown,,may,225,1,-1,0,unknown,0
49,management,1,2,no,378,1,no,unknown,5.0,may,230,1,-1,0,unknown,0
60,admin.,1,1,no,39,1,yes,unknown,,may,208,1,-1,0,unknown,0
59,blue-collar,1,1,no,0,1,no,unknown,5.0,may,226,1,-1,0,unknown,0
57,technician,divorced,1,no,63,1,no,unknown,,may,242,1,-1,0,unknown,0
25,blue-collar,1,1,no,-7,1,no,unknown,,may,365,1,-1,0,unknown,0
53,technician,1,1,no,-3,0,no,unknown,,may,1666,1,-1,0,unknown,0
36,admin.,divorced,1,no,506,1,no,unknown,,may,577,1,-1,0,unknown,0
37,admin.,0,1,no,0,1,no,unknown,5.0,may,137,1,-1,0,unknown,0
44,services,divorced,1,no,2586,1,no,unknown,,may,160,1,-1,0,unknown,0
50,management,1,1,no,49,1,no,unknown,,may,180,2,-1,0,unknown,0
60,blue-collar,1,3,no,104,1,no,unknown,,may,22,1,-1,0,unknown,0
54,retired,1,1,no,529,1,no,unknown,5.0,may,1492,1,-1,0,unknown,0
58,retired,1,3,no,96,1,no,unknown,5.0,may,616,1,-1,0,unknown,0
36,admin.,0,0,no,-171,1,no,unknown,,may,242,1,-1,0,unknown,0
58,self-employed,1,2,no,-364,1,no,unknown,5.0,may,355,1,-1,0,unknown,0
44,technician,1,1,no,0,1,no,unknown,,may,225,2,-1,0,unknown,0
55,technician,divorced,1,no,0,0,no,unknown,,may,160,1,-1,0,unknown,0
29,management,0,2,no,0,1,no,unknown,,may,363,1,-1,0,unknown,0
54,blue-collar,1,1,no,1291,1,no,unknown,5.0,may,266,1,-1,0,unknown,0
48,management,divorced,2,no,-244,1,no,unknown,5.0,may,253,1,-1,0,unknown,0
32,management,1,2,no,0,1,no,unknown,,may,179,1,-1,0,unknown,0
42,admin.,0,1,no,-76,1,no,unknown,,may,787,1,-1,0,unknown,0
24,technician,0,1,no,-103,1,yes,unknown,,may,145,1,-1,0,unknown,0
38,entrepreneur,0,2,no,243,0,yes,unknown,5.0,may,174,1,-1,0,unknown,0
38,management,0,2,no,424,1,no,unknown,,may,104,1,-1,0,unknown,0
47,blue-collar,1,3,no,306,1,no,unknown,5.0,may,13,1,-1,0,unknown,0
40,blue-collar,0,3,no,24,1,no,unknown,,may,185,1,-1,0,unknown,0
46,services,1,0,no,179,1,no,unknown,5.0,may,1778,1,-1,0,unknown,0
32,admin.,1,2,no,0,1,no,unknown,,may,138,1,-1,0,unknown,0
53,technician,divorced,1,no,989,1,no,unknown,,may,812,1,-1,0,unknown,0
57,blue-collar,1,0,no,249,1,no,unknown,,may,164,1,-1,0,unknown,0
33,services,1,1,no,790,1,no,unknown,,may,391,1,-1,0,unknown,0
49,blue-collar,1,3,no,154,1,no,unknown,,may,357,1,-1,0,unknown,0
60,retired,1,2,no,100,0,no,unknown,,may,528,1,-1,0,unknown,0
59,management,divorced,2,no,59,1,no,unknown,5.0,may,273,1,-1,0,unknown,0
55,technician,1,1,no,1205,1,no,unknown,,may,158,2,-1,0,unknown,0
31,services,1,1,no,25,1,yes,unknown,,may,172,1,-1,0,unknown,0
54,management,1,1,no,282,1,yes,unknown,,may,154,1,-1,0,unknown,0
55,blue-collar,1,0,no,23,1,no,unknown,,may,291,1,-1,0,unknown,0
43,technician,1,1,no,1937,1,no,unknown,,may,181,1,-1,0,unknown,0
53,technician,1,1,no,384,1,no,unknown,,may,176,1,-1,0,unknown,0
44,blue-collar,1,1,no,582,0,yes,unknown,,may,211,1,-1,0,unknown,0
55,services,divorced,1,no,91,0,no,unknown,,may,349,1,-1,0,unknown,0
49,services,divorced,1,no,0,1,yes,unknown,5.0,may,272,1,-1,0,unknown,0
55,services,divorced,1,yes,1,1,no,unknown,,may,208,1,-1,0,unknown,0
45,admin.,0,1,no,206,1,no,unknown,,may,193,1,-1,0,unknown,0
47,services,divorced,1,no,164,0,no,unknown,,may,212,1,-1,0,unknown,0
42,technician,0,1,no,690,1,no,unknown,,may,20,1,-1,0,unknown,0
59,admin.,1,1,no,2343,1,no,unknown,,may,1042,1,-1,0,unknown,1
46,self-employed,1,2,no,137,1,yes,unknown,,may,246,1,-1,0,unknown,0
51,blue-collar,1,0,no,173,1,no,unknown,,may,529,2,-1,0,unknown,0
56,admin.,1,1,no,45,0,no,unknown,,may,1467,1,-1,0,unknown,1
41,technician,1,1,no,1270,1,no,unknown,,may,1389,1,-1,0,unknown,1
46,management,divorced,1,no,16,1,yes,unknown,,may,188,2,-1,0,unknown,0
57,retired,1,1,no,486,1,no,unknown,,may,180,2,-1,0,unknown,0
42,management,0,1,no,50,0,no,unknown,,may,48,1,-1,0,unknown,0
30,technician,1,1,no,152,1,yes,unknown,,may,213,2,-1,0,unknown,0
60,admin.,1,1,no,290,1,no,unknown,,may,583,1,-1,0,unknown,0
60,blue-collar,1,3,no,54,1,no,unknown,,may,221,1,-1,0,unknown,0
57,entrepreneur,divorced,1,no,-37,0,no,unknown,5.0,may,173,1,-1,0,unknown,0
36,management,1,2,no,101,1,yes,unknown,,may,426,1,-1,0,unknown,0
55,blue-collar,1,1,no,383,0,no,unknown,5.0,may,287,1,-1,0,unknown,0
60,retired,1,2,no,81,1,no,unknown,,may,101,1,-1,0,unknown,0
